0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/jeju/museum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/jeju/event1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/jeju/event2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/jeju/event3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:38:42 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:52 +0900] "GET /sistSemiProject0921final/index.jsp?main=login/loginForm.jsp HTTP/1.1" 200 14535
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/jeju/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
